
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
MailRuUpdater.exe            18088 Console                    1     17,168 K Unknown         DESKTOP-R604OCC\User                                    0:01:19 N/A                                                                     
steamwebhelper.exe           18376 Console                    1    108,904 K Running         DESKTOP-R604OCC\User                                    0:00:38 N/A                                                                     
steamwebhelper.exe           17600 Console                    1      8,632 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
steamwebhelper.exe           18344 Console                    1     79,972 K Running         DESKTOP-R604OCC\User                                    0:01:03 N/A                                                                     
SteamService.exe              6424 Services                   0      6,824 K Unknown         N/A                                                     0:00:00 N/A                                                                     
steamwebhelper.exe           16240 Console                    1     19,132 K Unknown         DESKTOP-R604OCC\User                                    0:00:03 N/A                                                                     
RtkAudUService64.exe           588 Console                    1      3,264 K Running         DESKTOP-R604OCC\User                                    0:00:00 RealtekAudioBackgroundProcessClass                                      
steamwebhelper.exe           10096 Console                    1     55,164 K Unknown         DESKTOP-R604OCC\User                                    0:00:08 N/A                                                                     
steamwebhelper.exe           16476 Console                    1     93,116 K Unknown         DESKTOP-R604OCC\User                                    0:03:53 N/A                                                                     
msedge.exe                   21444 Console                    1     54,864 K Running         DESKTOP-R604OCC\User                                    0:00:16 N/A                                                                     
msedge.exe                    9432 Console                    1      5,924 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
msedge.exe                   22152 Console                    1     17,796 K Running         DESKTOP-R604OCC\User                                    0:00:03 N/A                                                                     
msedge.exe                   22104 Console                    1     23,108 K Running         DESKTOP-R604OCC\User                                    0:00:07 OleMainThreadWndName                                                    
msedge.exe                   22396 Console                    1      8,428 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
svchost.exe                  22656 Services                   0     35,112 K Unknown         N/A                                                     0:00:08 N/A                                                                     
svchost.exe                  22740 Services                   0     24,784 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Cortana.exe                  23432 Console                    1      7,044 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
RuntimeBroker.exe             9000 Console                    1      8,956 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
svchost.exe                  21516 Services                   0     27,604 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  23576 Console                    1     39,712 K Unknown         DESKTOP-R604OCC\User                                    0:00:01 N/A                                                                     
svchost.exe                  23860 Services                   0     23,260 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  24668 Services                   0      6,892 K Unknown         N/A                                                     0:00:02 N/A                                                                     
AppleMobileDeviceProcess.    24772 Console                    1      7,144 K Running         DESKTOP-R604OCC\User                                    0:00:07 N/A                                                                     
AnyDesk.exe                  24704 Console                    1      5,024 K Running         DESKTOP-R604OCC\User                                    0:00:00 GDI+ Window (AnyDesk.exe)                                               
hamachi-2-ui.exe             25064 Console                    1      8,300 K Running         DESKTOP-R604OCC\User                                    0:00:11 N/A                                                                     
jusched.exe                   3932 Console                    1      5,432 K Not Responding  DESKTOP-R604OCC\User                                    0:00:00 OleMainThreadWndName                                                    
Viber.exe                    16352 Console                    1    112,540 K Running         DESKTOP-R604OCC\User                                    0:02:16 Viber                                                                   
svchost.exe                  20172 Console                    1     41,160 K Unknown         DESKTOP-R604OCC\User                                    0:00:01 N/A                                                                     
SgrmBroker.exe               18244 Services                   0      8,452 K Unknown         N/A                                                     0:03:06 N/A                                                                     
svchost.exe                  23044 Services                   0      7,776 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WhatsApp.exe                  4520 Console                    1     24,732 K Running         DESKTOP-R604OCC\User                                    0:00:10 N/A                                                                     
RuntimeBroker.exe            24528 Console                    1     19,388 K Running         DESKTOP-R604OCC\User                                    0:00:02 OleMainThreadWndName                                                    
ShellExperienceHost.exe       3008 Console                    1     36,552 K Running         DESKTOP-R604OCC\User                                    0:00:03 New notification                                                        
RuntimeBroker.exe            23124 Console                    1     17,176 K Running         DESKTOP-R604OCC\User                                    0:00:00 OleMainThreadWndName                                                    
UserOOBEBroker.exe            9856 Console                    1      6,924 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
chrome.exe                   19848 Console                    1    353,928 K Running         DESKTOP-R604OCC\User                                    0:21:37 Как найти файл в Windows с помощью cmd ? - Компьютер76 . - Google Chrome
chrome.exe                   24968 Console                    1      6,136 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
chrome.exe                   20020 Console                    1    278,576 K Running         DESKTOP-R604OCC\User                                    0:23:56 N/A                                                                     
chrome.exe                   11624 Console                    1     65,500 K Running         DESKTOP-R604OCC\User                                    0:06:32 OleMainThreadWndName                                                    
chrome.exe                   19320 Console                    1     15,056 K Unknown         DESKTOP-R604OCC\User                                    0:00:07 N/A                                                                     
chrome.exe                   12608 Console                    1     15,840 K Unknown         DESKTOP-R604OCC\User                                    0:01:00 N/A                                                                     
dllhost.exe                  18596 Console                    1     28,472 K Running         DESKTOP-R604OCC\User                                    0:00:00 OleMainThreadWndName                                                    
Telegram.exe                 12984 Console                    1    206,980 K Running         DESKTOP-R604OCC\User                                    0:17:21 Telegram (3575)                                                         
Video.UI.exe                  2856 Console                    1      5,588 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
RuntimeBroker.exe             2464 Console                    1      6,328 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
svchost.exe                  24396 Services                   0     42,076 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   2664 Services                   0     22,420 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SystemSettings.exe           11872 Console                    1      2,548 K Running         DESKTOP-R604OCC\User                                    0:00:00 Settings                                                                
ApplicationFrameHost.exe      8916 Console                    1     30,640 K Running         DESKTOP-R604OCC\User                                    0:00:00 Settings                                                                
LockApp.exe                   9052 Console                    1     31,004 K Running         DESKTOP-R604OCC\User                                    0:00:01 Windows Default Lock Screen                                             
RuntimeBroker.exe             4672 Console                    1     27,496 K Running         DESKTOP-R604OCC\User                                    0:00:07 N/A                                                                     
MpCopyAccelerator.exe        11124 Services                   0      6,624 K Unknown         N/A                                                     0:00:01 N/A                                                                     
hola_svc.exe                  2688 Services                   0     74,092 K Unknown         N/A                                                     0:12:41 N/A                                                                     
hola.exe                      2944 Console                    1     13,024 K Running         DESKTOP-R604OCC\User                                    0:00:45 Using the system tray                                                   
HPAudioCenter.exe            11380 Console                    1     10,672 K Running         DESKTOP-R604OCC\User                                    0:00:01 HP Audio Center                                                         
